t,pid,b1,b2,coolant,speed
1788093066.83,0000,190,63,0,0.0
1788093066.85,010B,42,0,0,0.0
1788093066.86,0002,0,0,0,0.0
1788093066.89,0003,2,0,0,0.0
1788093066.93,0005,132,0,92,0.0
1788093066.95,010B,42,0,92,0.0
1788093066.96,0006,130,0,92,0.0
1788093066.99,0007,130,0,92,0.0
1788093066.99,0110,0,248,92,0.0
1788093067.02,000B,42,0,92,0.0
1788093067.04,010B,42,0,92,0.0
1788093067.06,000C,11,19,92,0.0
1788093067.09,000D,0,0,92,0.0
1788093067.10,0110,0,251,92,0.0
1788093067.12,000E,142,0,92,0.0
1788093067.15,010B,42,0,92,0.0
1788093067.15,000F,98,0,92,0.0
1788093067.18,0010,0,251,92,0.0
1788093067.19,0110,0,248,92,0.0
1788093067.21,0011,30,0,92,0.0
1788093067.24,010B,42,0,92,0.0
1788093067.25,0013,1,0,92,0.0
1788093067.28,001C,10,0,92,0.0
1788093067.30,0110,0,254,92,0.0
1788093067.32,001F,0,35,92,0.0
1788093067.35,0020,128,21,92,0.0
1788093067.38,0021,0,0,92,0.0
1788093067.40,0110,0,254,92,0.0
1788093067.41,002C,0,0,92,0.0
1788093067.45,002E,0,0,92,0.0
1788093067.48,0030,255,0,92,0.0
1788093067.49,0110,0,245,92,0.0
1788093067.51,003C,26,254,92,0.0
1788093067.54,0040,104,0,92,0.0
1788093067.55,010B,42,0,92,0.0
1788093067.58,0042,53,63,92,0.0
1788093067.60,0110,0,251,92,0.0
1788093067.61,0043,0,68,92,0.0
1788093067.64,0200,0,0,92,0.0
1788093067.64,010B,42,0,92,0.0
1788093067.67,0202,0,0,92,0.0
1788093067.69,0110,0,251,92,0.0
1788093067.70,0900,6,34,92,0.0
1788093067.74,0968,0,0,92,0.0
1788093067.74,010B,42,0,92,0.0
1788093067.77,096E,10,240,92,0.0
1788093067.80,0110,0,251,92,0.0
1788093067.80,097C,109,31,92,0.0
1788093067.83,098E,0,0,92,0.0
1788093067.85,010B,42,0,92,0.0
1788093067.86,1101,1,0,92,0.0
1788093067.90,1103,4,0,92,0.0
1788093067.93,1104,1,0,92,0.0
1788093067.94,010B,42,0,92,0.0
1788093067.96,114A,47,128,92,0.0
1788093068.00,114D,33,128,92,0.0
1788093068.03,1153,57,113,92,0.0
1788093068.05,010B,42,0,92,0.0
1788093068.06,1154,29,192,92,0.0
1788093068.10,1169,29,184,92,0.0
1788093068.13,1173,3,92,92,0.0
1788093068.14,010B,42,0,92,0.0
1788093068.16,1177,20,100,92,0.0
1788093068.19,1410,1,47,92,0.0
1788093068.20,0110,0,251,92,0.0
1788093068.22,1631,1,0,92,0.0
1788093068.25,010B,42,0,92,0.0
1788093068.25,1678,0,0,92,0.0
1788093068.29,1681,0,0,92,0.0
1788093068.30,0110,0,251,92,0.0
1788093068.30,17B3,144,0,92,0.0
1788093068.32,16CD,0,0,92,0.0
1788093068.34,010B,42,0,92,0.0
1788093068.35,16CE,255,248,92,0.0
1788093068.38,16CF,13,143,92,0.0
1788093068.40,0110,0,248,92,0.0
1788093068.41,16E8,76,29,92,0.0
1788093068.44,010B,42,0,92,0.0
1788093068.45,16E9,0,116,92,0.0
1788093068.48,16F0,3,131,92,0.0
1788093068.50,0110,1,1,92,0.0
1788093068.51,1704,0,0,92,0.0
1788093068.54,1706,128,0,92,0.0
1788093068.55,010B,42,0,92,0.0
1788093068.58,1709,0,0,92,0.0
1788093068.59,0110,0,251,92,0.0
1788093068.62,1717,1,0,92,0.0
1788093068.65,1718,1,0,92,0.0
1788093068.68,1746,0,0,92,0.0
1788093068.70,0110,0,254,92,0.0
1788093068.71,1782,147,192,92,0.0
1788093068.74,1783,110,192,92,0.0
1788093068.75,010B,42,0,92,0.0
1788093068.78,17A0,32,0,92,0.0
1788093068.79,0110,1,1,92,0.0
1788093068.81,17A6,0,0,92,0.0
1788093068.84,17B0,19,0,92,0.0
1788093068.85,010B,42,0,92,0.0
1788093068.87,17B1,32,0,92,0.0
1788093068.89,0110,0,245,92,0.0
1788093068.91,17B2,4,0,92,0.0
1788093068.93,17B3,144,0,92,0.0
1788093068.94,010B,42,0,92,0.0
1788093068.97,17B5,80,0,92,0.0
1788093069.00,0110,0,251,92,0.0
1788093069.00,17B6,0,0,92,0.0
1788093069.04,17B8,238,0,92,0.0
1788093069.04,010B,42,0,92,0.0
1788093069.07,17BA,0,0,92,0.0
1788093069.10,0110,0,251,92,0.0
1788093069.10,17BB,0,0,92,0.0
1788093069.13,17BC,0,0,92,0.0
1788093069.15,010B,42,0,92,0.0
1788093069.17,17BD,43,0,92,0.0
1788093069.20,17BE,0,0,92,0.0
1788093069.23,17C1,234,0,92,0.0
1788093069.24,010B,42,0,92,0.0
1788093069.26,3201,23,112,92,0.0
1788093069.30,990A,45,0,92,0.0
1788093069.30,0110,0,254,92,0.0
1788093069.33,996E,13,32,92,0.0
1788093069.34,010B,42,0,92,0.0
1788093069.36,A211,0,0,92,0.0
1788093069.39,D100,129,0,92,0.0
1788093069.39,0110,0,254,92,0.0
1788093069.42,E21B,90,74,92,0.0
1788093069.44,010B,42,0,92,0.0
1788093069.46,E21C,49,56,92,0.0
1788093069.50,E21D,56,56,92,0.0
1788093069.50,0110,0,251,92,0.0
1788093069.53,E21E,70,0,91,0.0
1788093069.54,010B,42,0,91,0.0
1788093069.56,E6F0,90,74,91,0.0
1788093069.59,E6F2,240,0,91,0.0
1788093069.59,0110,0,248,91,0.0
1788093069.62,E6F3,240,0,92,0.0
1788093069.65,010B,42,0,92,0.0
1788093069.65,0105,132,0,92,0.0
1788093069.68,010F,99,0,92,0.0
1788093069.69,0110,0,254,92,0.0
