t,speed,rpm,gear,ratio,mech,slip,tcc,locked,trip_km,fuel_pt,coolant,map,load
1787837115.7,47.23,1610.0,4,0.730,0.726,1.0055,81.83566896222719,False,282.44639,34.90,91.0,63.0,14.0
1787837116.2,47.63,1633.5,4,0.730,0.726,1.0055,81.33289415920571,False,282.45262,36.86,91.0,63.0,14.0
1787837116.7,47.79,1638.5,4,0.730,0.726,1.0055,81.36135344894747,False,282.45924,34.90,91.0,64.0,14.0
1787837117.2,48.23,1650.0,4,0.730,0.726,1.0055,81.53815821627225,False,282.46664,39.22,91.0,64.0,14.0
1787837117.7,48.55,1611.5,4,0.720,0.726,0.9917,84.03143407567697,False,282.47326,34.12,91.0,63.0,1.0
1787837118.2,48.42,1331.2,4,0.720,0.726,0.9917,100,False,282.48027,44.71,91.0,37.0,4.0
1787837118.7,48.06,1364.8,4,0.730,0.726,1.0055,98.2434088809807,False,282.48689,34.51,91.0,37.0,5.0
1787837119.2,47.72,1369.2,4,0.730,0.726,1.0055,97.22277586254691,False,282.49350,39.22,91.0,39.0,5.0
1787837119.7,47.46,1368.5,4,0.730,0.726,1.0055,96.74608244247841,False,282.50012,35.29,91.0,41.0,6.0
1787837120.2,46.98,1364.2,4,0.730,0.726,1.0055,96.0608952247783,False,282.50635,38.04,91.0,43.0,6.0
1787837120.7,46.80,1363.8,4,0.730,0.726,1.0055,95.91689669127287,True,282.51414,38.04,91.0,43.0,6.0
1787837121.2,46.56,1310.0,4,0.730,0.726,1.0055,99.42605104220246,True,282.52076,36.86,91.0,44.0,6.0
1787837121.8,46.27,1299.5,4,0.730,0.726,1.0055,99.6370492158868,True,282.52699,36.86,91.0,46.0,6.0
1787837122.3,45.86,1293.2,4,0.730,0.726,1.0055,99.24229330248876,True,282.53361,34.12,91.0,46.0,6.0
1787837122.8,45.78,1243.2,4,0.730,0.726,1.0055,100,False,282.53984,34.12,91.0,35.0,1.0
1787837123.3,44.70,1292.5,3,1.000,1.000,1.0000,0,False,282.54607,34.90,91.0,31.0,1.0
1787837123.8,43.75,1291.8,3,1.000,1.000,1.0000,100,False,282.55230,34.90,91.0,29.0,0.0
1787837124.3,42.75,1214.0,2,1.000,1.498,0.6676,0,False,282.55814,36.86,91.0,28.0,0.0
1787837124.8,42.11,1125.5,2,1.000,1.498,0.6676,0,False,282.56476,34.90,91.0,29.0,0.0
1787837125.3,39.54,1975.2,2,1.500,1.498,1.0013,100,False,282.57021,31.76,91.0,26.0,0.0
1787837125.8,38.28,1969.2,2,1.500,1.498,1.0013,100,False,282.57567,36.86,91.0,22.0,0.0
1787837126.3,37.16,1911.5,2,1.500,1.498,1.0013,100,False,282.58112,28.63,91.0,21.0,0.0
1787837126.8,36.22,1801.8,2,1.500,1.498,1.0013,100,False,282.58618,34.90,91.0,20.0,0.0
1787837127.3,35.13,1830.8,2,1.500,1.498,1.0013,100,False,282.59085,35.69,91.0,20.0,0.0
1787837127.8,34.25,1774.5,2,1.500,1.498,1.0013,100,False,282.59591,31.76,91.0,20.0,0.0
1787837128.3,33.31,1716.2,2,1.500,1.498,1.0013,100,False,282.60059,34.90,91.0,20.0,0.0
1787837128.8,32.28,1649.8,2,1.500,1.498,1.0013,100,False,282.60487,34.90,91.0,20.0,0.0
1787837129.3,31.56,1595.5,2,1.500,1.498,1.0013,100,False,282.60954,41.57,91.0,20.0,0.0
1787837129.8,30.36,1532.8,2,1.490,1.498,0.9947,100,False,282.61383,40.39,91.0,21.0,0.0
1787837130.3,27.96,1400.8,2,1.500,1.498,1.0013,100,False,282.61772,31.76,91.0,22.0,0.0
1787837130.8,26.35,1258.2,2,1.500,1.498,1.0013,100,False,282.62161,32.94,91.0,24.0,0.0
1787837131.3,24.57,1164.8,2,1.500,1.498,1.0013,100,False,282.62512,31.76,91.0,23.0,0.0
1787837131.8,22.96,1032.5,2,1.500,1.498,1.0013,100,False,282.62823,32.94,91.0,25.0,0.0
1787837132.3,21.40,943.0,2,1.500,1.498,1.0013,100,False,282.63135,41.57,91.0,27.0,0.0
1787837132.8,19.43,870.0,2,1.500,1.498,1.0013,0,False,282.63446,29.41,91.0,29.0,0.0
1787837133.3,17.68,839.2,2,1.500,1.498,1.0013,0,False,282.63680,36.86,91.0,29.0,0.0
1787837133.8,15.99,794.2,2,1.500,1.498,1.0013,0,False,282.63914,34.12,91.0,31.0,0.0
1787837134.3,14.37,764.5,2,1.500,1.498,1.0013,0,False,282.64147,41.57,91.0,32.0,0.0
1787837134.8,12.59,733.5,2,1.510,1.498,1.0080,0,False,282.64342,36.86,91.0,32.0,0.0
1787837135.3,11.02,713.5,1,1.510,2.816,0.5362,0,False,282.64498,32.16,91.0,35.0,0.0
1787837135.8,9.29,727.0,1,1.690,2.816,0.6001,0,False,282.64653,39.22,90.0,40.0,0.0
1787837136.3,7.29,749.5,1,2.450,2.816,0.8700,0,False,282.64770,31.76,90.0,36.0,0.0
1787837136.8,5.82,719.0,1,2.750,2.816,0.9766,0,False,282.64848,33.73,90.0,35.0,0.0
1787837137.3,5.75,733.8,1,2.830,2.816,1.0050,0,False,282.64965,35.69,90.0,39.0,0.0
1787837137.9,5.87,727.5,1,2.830,2.816,1.0050,0,False,282.65043,36.86,90.0,38.0,9.0
1787837138.4,6.58,1283.0,1,2.910,2.816,1.0334,0,False,282.65121,35.69,90.0,75.0,27.0
1787837138.9,10.32,1871.2,1,2.850,2.816,1.0121,0,False,282.65237,42.75,90.0,85.0,28.0
1787837139.4,14.70,2066.2,1,2.820,2.816,1.0014,0,False,282.65393,40.39,90.0,82.0,28.0
1787837139.9,18.13,2250.0,1,2.820,2.816,1.0014,0,False,282.65627,40.39,90.0,82.0,29.0
1787837140.4,21.10,2542.8,1,2.820,2.816,1.0014,90.08025934389987,False,282.65899,41.57,90.0,80.0,30.0
1787837140.9,24.04,2826.0,2,0.260,1.498,0.1736,0,False,282.66289,40.39,90.0,76.0,31.0
1787837141.4,26.97,3092.5,2,0.270,1.498,0.1802,0,False,282.66639,35.69,90.0,72.0,32.0
1787837141.9,28.92,2717.2,2,2.300,1.498,1.5354,0,False,282.67029,39.22,90.0,73.0,33.0
1787837142.4,30.89,2247.0,2,1.510,1.498,1.0080,0,False,282.67457,38.04,90.0,86.0,35.0
1787837142.9,33.14,2280.2,3,1.500,1.000,1.5000,0,False,282.67885,40.39,90.0,89.0,36.0
1787837143.4,34.73,2313.0,3,1.460,1.000,1.4600,0,False,282.68353,35.69,90.0,88.0,27.0
1787837143.9,36.35,1992.8,3,1.000,1.000,1.0000,70.31369365422435,False,282.68859,35.69,90.0,79.0,16.0
1787837144.4,36.99,1558.0,3,1.000,1.000,1.0000,91.53638633541549,False,282.69365,38.04,90.0,45.0,6.0
1787837144.9,37.25,1457.0,3,1.000,1.000,1.0000,98.77713016351106,True,282.69871,39.22,90.0,38.0,8.0
1787837145.4,37.08,1450.2,3,1.000,1.000,1.0000,98.8355404430554,True,282.70377,35.69,90.0,41.0,9.0
1787837145.9,37.21,1452.2,3,1.000,1.000,1.0000,99.06664446156708,True,282.70884,35.69,90.0,46.0,10.0
1787837146.4,37.44,1454.0,3,1.000,1.000,1.0000,99.58846736333095,True,282.71390,38.04,90.0,49.0,10.0
1787837146.9,37.59,1458.0,3,1.000,1.000,1.0000,99.7560527506687,True,282.71935,38.04,90.0,49.0,10.0
1787837147.4,37.73,1468.0,3,1.000,1.000,1.0000,99.45553088757866,True,282.72441,34.12,90.0,50.0,12.0
1787837147.9,38.01,1496.2,3,1.000,1.000,1.0000,98.36894044304618,True,282.72947,35.69,90.0,59.0,14.0
1787837148.4,38.56,1509.0,3,1.000,1.000,1.0000,99.01382377343016,True,282.73492,34.90,90.0,65.0,14.0
1787837148.9,39.01,1516.2,3,1.000,1.000,1.0000,99.71323134189909,True,282.74038,36.86,90.0,68.0,15.0
1787837149.4,39.85,1545.8,3,1.000,1.000,1.0000,99.92517918543257,True,282.74583,38.04,90.0,70.0,16.0
1787837149.9,40.44,1568.0,3,1.000,1.000,1.0000,99.97944284791099,True,282.75128,35.69,90.0,71.0,16.0
1787837150.4,41.17,1600.5,3,1.000,1.000,1.0000,99.72489459799601,True,282.75673,34.12,90.0,71.0,16.0
1787837150.9,41.73,1625.2,3,1.000,1.000,1.0000,99.56012786058713,True,282.76335,39.22,90.0,70.0,14.0
1787837151.4,42.16,1631.0,3,1.000,1.000,1.0000,100,True,282.76919,40.39,90.0,56.0,10.0
1787837151.9,42.50,1645.5,3,1.000,1.000,1.0000,100,True,282.77620,32.94,90.0,51.0,11.0
1787837152.4,42.78,1658.8,3,1.000,1.000,1.0000,99.98126442229218,True,282.78204,36.86,90.0,51.0,12.0
1787837153.0,42.85,1667.8,3,1.000,1.000,1.0000,99.61887641867602,True,282.78788,35.69,90.0,53.0,12.0
1787837153.5,43.22,1682.5,3,1.000,1.000,1.0000,99.61565163194956,True,282.79372,38.04,90.0,53.0,12.0
1787837154.0,43.39,1694.2,3,1.000,1.000,1.0000,99.33748688293927,True,282.79995,39.22,90.0,54.0,12.0
1787837154.5,43.89,1720.0,3,1.000,1.000,1.0000,99.00439472936891,True,282.80579,36.86,90.0,55.0,12.0
1787837155.0,43.91,1731.5,3,1.000,1.000,1.0000,98.49278363529365,True,282.81202,34.90,90.0,57.0,13.0
1787837155.5,44.20,1739.2,3,1.000,1.000,1.0000,98.76860635529012,True,282.81786,38.82,90.0,59.0,13.0
1787837156.0,44.46,1731.0,4,1.000,0.726,1.3774,0,True,282.82409,36.47,90.0,61.0,13.0
1787837156.5,44.71,1535.0,4,0.740,0.726,1.0193,0,False,282.83032,39.22,90.0,65.0,14.0
1787837157.0,44.91,1534.8,4,0.730,0.726,1.0055,82.57208660580335,False,282.83655,38.04,90.0,70.0,14.0
1787837157.5,45.20,1566.2,4,0.730,0.726,1.0055,81.43842645857549,False,282.84278,36.86,90.0,71.0,14.0
1787837158.0,45.47,1576.0,4,0.730,0.726,1.0055,81.42701556488682,False,282.84901,36.86,90.0,71.0,14.0
1787837158.5,45.84,1582.2,4,0.720,0.726,0.9917,81.76081505616511,False,282.85524,35.69,90.0,71.0,14.0
1787837159.0,45.93,1586.2,4,0.730,0.726,1.0055,81.71030530336567,False,282.86225,36.86,90.0,71.0,14.0
1787837159.5,46.00,1334.5,4,0.730,0.726,1.0055,97.26748190359343,False,282.86887,36.86,90.0,48.0,2.0
1787837160.0,45.64,1275.2,4,0.720,0.726,0.9917,100,False,282.87510,35.69,91.0,38.0,4.0
1787837160.5,45.51,1302.5,4,0.730,0.726,1.0055,98.59012326925838,False,282.88133,38.04,91.0,40.0,5.0
1787837161.0,45.23,1311.8,4,0.730,0.726,1.0055,97.29791465576184,False,282.88756,36.86,90.0,42.0,6.0
1787837161.5,44.72,1321.0,4,0.730,0.726,1.0055,95.53246857954996,False,282.89379,36.86,90.0,45.0,6.0
1787837162.0,44.70,1335.2,4,0.720,0.726,0.9917,94.46009496620808,False,282.90002,35.69,91.0,48.0,7.0
1787837162.5,44.39,1352.0,4,0.720,0.726,0.9917,92.64799317098263,False,282.90625,34.90,91.0,50.0,8.0
1787837163.0,44.25,1355.2,4,0.730,0.726,1.0055,92.13430090641137,False,282.91210,38.04,91.0,53.0,8.0
1787837163.5,44.19,1371.2,4,0.730,0.726,1.0055,90.94607335315256,False,282.91833,36.86,91.0,54.0,9.0
1787837164.0,44.03,1374.8,4,0.730,0.726,1.0055,90.3860980322175,False,282.92417,39.22,91.0,55.0,9.0
1787837164.5,43.77,1385.5,4,0.730,0.726,1.0055,89.15014202472123,False,282.93040,34.12,91.0,56.0,9.0
1787837165.0,44.03,1346.5,4,0.730,0.726,1.0055,92.27718778373219,False,282.93663,38.04,91.0,54.0,1.0
1787837165.5,43.49,1154.5,4,0.720,0.726,0.9917,100,False,282.94247,32.94,91.0,35.0,0.0
1787837166.0,43.15,947.8,4,0.730,0.726,1.0055,100,False,282.94987,36.86,91.0,36.0,0.0
1787837166.5,42.20,829.8,4,0.720,0.726,0.9917,100,False,282.95571,35.69,91.0,38.0,0.0
1787837167.0,41.86,856.8,4,0.730,0.726,1.0055,100,False,282.96233,34.90,91.0,36.0,0.0
1787837167.6,41.35,865.8,4,0.720,0.726,0.9917,100,False,282.96700,39.22,91.0,32.0,0.0
1787837168.1,40.72,827.8,4,0.730,0.726,1.0055,100,False,282.97362,33.73,91.0,29.0,0.0
1787837168.6,40.21,821.0,4,0.730,0.726,1.0055,100,False,282.97907,38.04,91.0,28.0,0.0
1787837169.1,39.80,815.8,4,0.730,0.726,1.0055,100,False,282.98491,34.12,91.0,29.0,0.0
1787837169.6,39.39,817.5,4,0.730,0.726,1.0055,100,False,282.99036,39.22,91.0,29.0,0.0
1787837170.1,38.87,814.0,4,0.730,0.726,1.0055,100,False,282.99542,35.69,91.0,29.0,0.0
1787837170.6,38.47,807.0,4,0.720,0.726,0.9917,100,False,283.00088,36.86,91.0,30.0,0.0
1787837171.1,37.91,791.2,4,0.730,0.726,1.0055,100,False,283.00633,38.04,91.0,30.0,0.0
1787837171.6,37.35,799.0,4,0.730,0.726,1.0055,100,False,283.01139,32.94,91.0,31.0,0.0
1787837172.1,35.84,801.5,4,0.730,0.726,1.0055,100,False,283.01645,41.57,91.0,31.0,0.0
1787837172.6,32.22,771.0,4,0.730,0.726,1.0055,100,False,283.02112,30.59,91.0,32.0,0.0
1787837173.1,30.25,746.5,4,0.730,0.726,1.0055,100,False,283.02541,25.88,91.0,33.0,0.0
1787837173.6,29.45,749.8,4,0.730,0.726,1.0055,100,False,283.02969,43.92,91.0,34.0,0.0
1787837174.1,28.46,752.2,4,0.730,0.726,1.0055,100,False,283.03358,28.24,91.0,34.0,0.0
1787837174.6,28.08,745.0,4,0.720,0.726,0.9917,100,False,283.03748,32.94,91.0,34.0,0.0
1787837175.1,26.41,739.5,4,0.730,0.726,1.0055,100,False,283.04137,26.27,91.0,34.0,0.0
1787837175.6,24.35,756.2,3,0.760,1.000,0.7600,0,False,283.04488,27.06,91.0,39.0,0.0
1787837176.1,22.02,798.0,3,1.010,1.000,1.0100,0,False,283.04799,29.41,91.0,38.0,0.0
1787837176.6,19.66,750.2,3,1.000,1.000,1.0000,0,False,283.05111,39.22,91.0,34.0,0.0
1787837177.1,17.52,762.5,3,1.000,1.000,1.0000,0,False,283.05383,30.59,91.0,39.0,0.0
1787837177.6,16.27,725.8,3,1.000,1.000,1.0000,0,False,283.05617,25.88,91.0,45.0,0.0
1787837178.1,15.04,759.0,3,0.960,1.000,0.9600,0,False,283.05812,36.86,91.0,52.0,0.0
1787837178.6,13.93,800.2,3,1.030,1.000,1.0300,0,False,283.06006,36.86,91.0,56.0,0.0
1787837179.1,13.45,795.2,3,1.000,1.000,1.0000,0,False,283.06279,36.86,91.0,56.0,0.0
1787837179.6,12.42,791.5,3,1.020,1.000,1.0200,0,False,283.06474,33.33,91.0,55.0,0.0
1787837180.1,10.32,785.5,1,3.510,2.816,1.2464,0,False,283.06629,32.16,91.0,55.0,0.0
1787837180.6,8.99,790.2,1,1.170,2.816,0.4155,0,False,283.06824,30.59,91.0,51.0,0.0
1787837181.1,8.21,790.8,1,2.010,2.816,0.7138,0,False,283.06941,34.90,91.0,47.0,0.0
1787837181.6,7.22,803.0,1,2.630,2.816,0.9339,0,False,283.07019,36.86,91.0,41.0,0.0
1787837182.2,5.69,749.2,1,2.800,2.816,0.9943,0,False,283.07135,35.69,91.0,43.0,0.0
1787837182.7,4.46,791.5,1,2.730,2.816,0.9695,0,False,283.07174,34.90,91.0,46.0,0.0
1787837183.2,4.06,771.8,1,2.790,2.816,0.9908,0,False,283.07252,35.69,91.0,43.0,0.0
