t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,trip_km,fuel_pt,coolant,map,load
1787912856.7,0.00,699.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.71,84.0,46.0,0.0
1787912857.2,0.00,701.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,25.10,84.0,46.0,0.0
1787912857.7,0.00,707.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912858.2,0.00,709.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912858.8,0.00,702.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,45.0,0.0
1787912859.3,0.00,698.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.71,85.0,46.0,0.0
1787912859.8,0.00,702.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,23.53,85.0,46.0,0.0
1787912860.3,0.00,707.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912860.8,0.00,708.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,23.92,85.0,46.0,0.0
1787912861.3,0.00,704.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912861.8,0.00,702.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912862.3,0.00,701.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912862.8,0.00,700.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912863.3,0.00,705.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.71,85.0,46.0,0.0
1787912863.8,0.00,705.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,23.53,85.0,46.0,0.0
1787912864.3,0.00,705.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.71,85.0,46.0,0.0
1787912864.8,0.00,701.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912865.3,0.00,696.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912865.8,0.00,703.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912866.3,0.00,706.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,23.92,85.0,46.0,0.0
1787912866.8,0.00,706.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912867.3,0.00,704.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,45.0,0.0
1787912867.8,0.00,700.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912868.3,0.00,700.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,23.92,85.0,46.0,0.0
1787912868.8,0.00,703.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.71,85.0,46.0,0.0
1787912869.3,0.00,706.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
1787912869.8,0.00,707.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,350.74226,24.31,85.0,46.0,0.0
