t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,coolant,map,load
1787919601.5,0.00,749.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109120,400.17765,16.08,90.0,44.0,0.0
1787919601.7,0.00,748.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109120,400.17765,14.90,90.0,45.0,0.0
1787919601.9,0.00,747.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109120,400.17765,16.08,90.0,45.0,0.0
1787919602.1,0.00,744.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109120,400.17765,14.90,90.0,45.0,0.0
1787919602.4,0.00,747.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,13.48,109120,400.17765,14.90,90.0,45.0,0.0
1787919602.6,0.00,745.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,13.48,109120,400.17765,16.47,90.0,45.0,0.0
1787919602.8,0.00,743.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,13.48,109120,400.17765,16.47,90.0,45.0,0.0
1787919603.0,0.00,745.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919603.2,0.00,746.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919603.4,0.00,748.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919603.6,0.00,753.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919603.8,0.00,754.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,17.25,90.0,45.0,0.0
1787919604.0,0.00,752.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919604.2,0.00,751.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,14.90,90.0,45.0,0.0
1787919604.4,0.00,751.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919604.6,0.00,749.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919604.8,0.00,748.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,17.25,90.0,45.0,0.0
1787919605.0,0.00,746.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,17.25,90.0,45.0,0.0
1787919605.2,0.00,745.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919605.4,0.00,746.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919605.6,0.00,745.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,17.25,90.0,45.0,0.0
1787919605.8,0.00,747.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,14.90,90.0,45.0,0.0
1787919606.0,0.00,751.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919606.2,0.00,752.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919606.4,0.00,752.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919606.6,0.00,754.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,14.90,90.0,45.0,0.0
1787919606.8,0.00,758.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,45.0,0.0
1787919607.0,0.00,757.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,45.0,0.0
1787919607.2,0.00,758.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,45.0,0.0
1787919607.4,0.00,754.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,45.0,0.0
1787919607.6,0.00,751.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,45.0,0.0
1787919607.8,0.00,750.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,45.0,0.0
1787919608.0,0.00,743.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,45.0,0.0
1787919608.2,0.00,741.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,45.0,0.0
1787919608.4,0.00,746.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,45.0,0.0
1787919608.7,0.00,752.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.86,90.0,45.0,0.0
1787919608.9,0.00,760.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,45.0,0.0
1787919609.1,0.00,760.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,45.0,0.0
1787919609.3,0.00,763.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.29,90.0,45.0,0.0
1787919609.5,0.00,763.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,45.0,0.0
1787919609.7,0.00,762.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,14.90,90.0,44.0,0.0
1787919609.9,0.00,762.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,17.25,90.0,44.0,0.0
1787919610.1,0.00,758.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,44.0,0.0
1787919610.3,0.00,755.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,44.0,0.0
1787919610.5,0.00,755.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,44.0,0.0
1787919610.7,0.00,755.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.08,90.0,44.0,0.0
1787919610.9,0.00,756.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,45.0,0.0
1787919611.1,0.00,756.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,15.69,90.0,44.0,0.0
1787919611.3,0.00,761.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,44.0,0.0
1787919611.5,0.00,761.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,44.0,0.0
1787919611.7,0.00,761.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.47,90.0,44.0,0.0
1787919611.9,0.00,762.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,17.25,90.0,44.0,0.0
1787919612.1,0.00,761.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,17.25,90.0,44.0,0.0
1787919612.3,0.00,762.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.48,109120,400.17765,16.86,90.0,44.0,0.0
1787919612.5,0.00,761.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919612.7,0.00,760.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919612.9,0.00,759.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.49,109120,400.17765,16.08,90.0,44.0,0.0
1787919613.1,0.00,761.2,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.49,109120,400.17765,16.08,90.0,44.0,0.0
1787919613.3,0.00,759.0,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.49,109120,400.17765,14.90,90.0,44.0,0.0
1787919613.5,0.00,759.8,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919613.7,0.00,759.5,0,0.260,0.000,0.0000,0,False,False,P,False,72.8,13.49,109120,400.17765,15.29,90.0,44.0,0.0
1787919613.9,0.00,758.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,15.29,90.0,44.0,0.0
1787919614.1,0.00,762.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919614.3,0.00,764.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,16.08,90.0,44.0,0.0
1787919614.5,0.00,764.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.51,109120,400.17765,16.08,90.0,44.0,0.0
1787919614.7,0.00,764.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.51,109120,400.17765,17.25,90.0,44.0,0.0
1787919615.0,0.00,765.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.51,109120,400.17765,16.08,90.0,44.0,0.0
1787919615.2,0.00,763.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.51,109120,400.17765,16.47,90.0,44.0,0.0
1787919615.4,0.00,765.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919615.6,0.00,765.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919615.8,0.00,763.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.29,90.0,44.0,0.0
1787919616.0,0.00,764.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.29,90.0,44.0,0.0
1787919616.2,0.00,764.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919616.4,0.00,764.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.08,90.0,44.0,0.0
1787919616.6,0.00,764.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,14.90,90.0,44.0,0.0
1787919616.8,0.00,766.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,14.90,90.0,44.0,0.0
1787919617.0,0.00,762.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.69,90.0,44.0,0.0
1787919617.2,0.00,761.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.69,90.0,44.0,0.0
1787919617.4,0.00,759.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919617.6,0.00,763.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919617.8,0.00,762.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919618.0,0.00,761.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,16.47,90.0,44.0,0.0
1787919618.2,0.00,761.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.49,109120,400.17765,16.08,90.0,44.0,0.0
1787919618.4,0.00,762.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919618.6,0.00,765.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.29,90.0,44.0,0.0
1787919618.8,0.00,762.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,14.90,90.0,44.0,0.0
1787919619.0,0.00,766.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.29,90.0,44.0,0.0
1787919619.2,0.00,767.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919619.4,0.00,765.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919619.6,0.00,763.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.69,90.0,44.0,0.0
1787919619.8,0.00,761.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919620.0,0.00,760.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919620.2,0.00,760.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,14.90,90.0,44.0,0.0
1787919620.4,0.00,758.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,17.25,90.0,44.0,0.0
1787919620.6,0.00,756.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.08,90.0,44.0,0.0
1787919620.8,0.00,757.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.08,90.0,44.0,0.0
1787919621.0,0.00,760.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.08,90.0,44.0,0.0
1787919621.2,0.00,761.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919621.5,0.00,763.5,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919621.7,0.00,765.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919621.9,0.00,765.0,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,15.29,90.0,44.0,0.0
1787919622.1,0.00,766.2,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.47,90.0,44.0,0.0
1787919622.3,0.00,761.8,0,0.260,0.000,0.0000,0,False,False,P,False,73.8,13.50,109120,400.17765,16.08,90.0,44.0,0.0
