t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1787971850.3,0.00,0.0,0,0.000,0.000,0.0000,0,False,False,,False,0.0,0.00,0,0.00000,0.00,0.000,0.00,0.0,0.0,0.0
1787971850.5,0.00,769.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,89.80,1.358,11.56,0.0,46.0,0.0
1787971850.7,0.00,768.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,89.80,1.329,11.56,73.0,46.0,0.0
1787971850.9,0.00,768.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,90.59,1.341,11.56,73.0,46.0,0.0
1787971851.1,0.00,767.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,89.02,1.341,11.56,73.0,46.0,0.0
1787971851.3,0.00,766.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,90.20,1.341,11.56,73.0,46.0,0.0
1787971851.5,0.00,768.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,90.20,1.329,11.55,73.0,46.0,0.0
1787971851.7,0.00,766.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,89.80,1.299,11.55,73.0,46.0,0.0
1787971851.9,0.00,765.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,90.20,1.312,11.55,73.0,46.0,0.0
1787971852.1,0.00,767.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109580,32.48404,90.20,1.312,11.55,73.0,46.0,0.0
1787971852.3,0.00,766.5,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.59,1.341,11.55,73.0,46.0,0.0
1787971852.6,0.00,766.0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.20,1.312,11.55,73.0,46.0,0.0
1787971852.8,0.00,763.2,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.20,1.358,11.55,73.0,46.0,0.0
1787971853.0,0.00,765.2,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,89.41,1.358,11.55,73.0,46.0,0.0
1787971853.2,0.00,765.8,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.20,1.329,11.55,73.0,46.0,0.0
1787971853.4,0.00,763.5,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,89.80,1.329,11.55,73.0,46.0,0.0
1787971853.6,0.00,762.2,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,89.80,1.312,11.55,73.0,46.0,0.0
1787971853.8,0.00,764.0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.59,1.312,11.55,73.0,46.0,0.0
1787971854.0,0.00,764.5,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.20,1.341,11.55,73.0,46.0,0.0
1787971854.2,0.00,767.2,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,89.80,1.329,11.55,73.0,46.0,0.0
1787971854.4,0.00,762.5,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,89.80,1.312,11.55,73.0,46.0,0.0
1787971854.6,0.00,762.5,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.20,1.329,11.55,73.0,46.0,0.0
1787971854.8,0.00,759.8,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.20,1.341,11.55,73.0,46.0,0.0
1787971855.0,0.00,759.2,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,90.20,1.312,11.55,73.0,46.0,0.0
1787971855.2,0.00,761.0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,109580,32.48404,89.80,1.299,11.55,73.0,46.0,0.0
