t,speed,rpm,gear,engaged,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load,brake,fan,ac,grade
1788341284.0,0.00,762.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,0.874,11.92,83.0,0.0,0.0,False,False,False,0
1788341284.2,0.00,762.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,1.108,11.92,83.0,46.0,0.0,False,False,False,6000
1788341284.4,0.00,764.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,1.108,11.92,83.0,46.0,0.0,False,False,False,6000
1788341284.7,0.00,766.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,1.108,11.92,83.0,46.0,0.0,False,False,True,6000
1788341284.9,0.00,765.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,1.119,11.92,83.0,46.0,0.0,False,False,True,6000
1788341285.1,0.00,765.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,62.35,1.130,11.92,83.0,46.0,0.0,False,True,True,6000
1788341285.3,0.00,763.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,1.108,11.92,83.0,46.0,0.0,False,True,True,6000
1788341285.5,0.00,767.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,1.108,11.92,83.0,46.0,0.0,False,True,True,6000
1788341285.7,0.00,766.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,62.75,1.119,11.92,83.0,46.0,0.0,False,True,True,6000
1788341285.9,0.00,763.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110250,146.41177,63.14,1.083,11.92,83.0,46.0,0.0,False,True,True,6000
1788341286.1,0.00,765.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,63.14,1.108,11.92,83.0,46.0,0.0,False,True,True,6000
1788341286.3,0.00,765.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,62.35,1.083,11.92,83.0,46.0,0.0,False,True,True,6000
1788341286.5,0.00,766.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,63.14,1.083,11.92,83.0,46.0,0.0,False,True,True,6000
1788341286.7,0.00,766.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,63.14,1.093,11.92,83.0,46.0,0.0,False,True,True,6000
1788341286.9,0.00,767.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,62.75,1.093,11.92,83.0,46.0,0.0,False,True,True,6000
1788341287.1,0.00,765.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,63.14,1.119,11.92,83.0,46.0,0.0,False,True,True,6000
1788341287.3,0.00,766.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,63.14,1.108,11.92,83.0,46.0,0.0,False,True,True,6000
1788341287.5,0.00,766.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,58.8,0.00,110250,146.41177,62.75,1.093,11.92,83.0,46.0,0.0,False,True,True,6000
